Zones in tbadoc but NOT in current Vitalia
================================================================================

Total: 185 zones

Vnum     Builder              Zone Name                                         
--------------------------------------------------------------------------------
0        Rumble               The Builder Academy Zone                          
1        Rumble               Sanctus                                           
100      Rumble               Northern Highway                                  
101      Unknown              South Road                                        
103      Taylor               DBZ World                                         
104      Taylor               Land of Orchan                                    
106      Daiko                Elcardo                                           
107      Rumble Santa         Realms of Iuel                                    
11       Detta                Frozen Castle                                     
115      Polar                Monestary Omega                                   
117      Dysprosic            Los Torres                                        
118      Detta                The Dollhouse                                     
12       CircleMUD            God Complex Merged with 343                       
120      Onivel               Rome                                              
125      Rhunter              Hannah                                            
13       Rumble               TBA Examples                                      
130      random               Mist Maze                                         
14       Rumble               TBA Examples II                                   
140      Balme                Wyvern City                                       
15       Steppin              Straight Path                                     
150      CircleMUD            King Welmar's Castle                              
16       Lok                  Camelot II                                        
169      Tanto                Gibberling Caves                                  
17       Lok                  Camelot III                                       
175      Unknown              Cardinal Wizards                                  
18       Rumble               Nuclear Wasteland                                 
186      Maynard              Newbie Zone                                       
187      Wolfgaar Arina       Circus                                            
19       Detta                Spider Swamp                                      
2        Rumble               Sanctus II                                        
20       Rumble               Arena                                             
200      Rumble               Western Highway                                   
201      Elixias              Sapphire Islands                                  
211      Parnassus            Tarot                                             
22       Rumble               Tower of the Undead                               
220      Exa                  The Enchanted Kitchen                             
232      Ferret               Terringham                                        
233      Unknown              Dragon Plains                                     
234      Ferret               Newbie School                                     
235      Unknown              Dwarven Mines                                     
236      Welcor               Aldin                                             
237      Welcor               Dwarven Trade Route                               
238      Polar Higgins        Crystal Castle                                    
239      Crysanthia           South Pass                                        
240      Rumble               Dun Maura                                         
241      Crazyman Heiach      Starship Enterprise                               
242      Crazyman             New Southern Midgaard                             
243      Crazyman             Snowy Valley                                      
244      Crazyman             Cooland Prison                                    
245      Kaan                 The Nether                                        
246      Kaan                 The Nether II                                     
247      Rasta                Graveyard                                         
248      Gbetz                Elven Woods                                       
249      G.Threepwood         Jedi Clan House                                   
25       Skylar               High Tower of Magic                               
250      Unknown              DragonSpyre                                       
251      Crazyman             Ape Village                                       
252      Kaan                 Castle of the Vampyre                             
253      Kaan                 Windmill                                          
254      Kaan                 Mordecai's Village                                
255      Kaan                 Shipwreck                                         
256      Kaan                 Lord's Keep                                       
257      Kaan                 Jareth Main City                                  
258      Kaan                 Light Forest                                      
259      Kaan                 Haunted Mansion                                   
26       Skylar               High Tower of Magic II                            
260      Kaan                 Grasslands                                        
261      Kaan                 Inna & Igor's Castle                              
262      Kaan                 Forest Trails                                     
263      Kaan                 Farmlands                                         
264      Kaan                 Banshide                                          
265      Kaan                 Beach & Lighthouse                                
266      Kaan                 Realm of Lord Ankou                               
267      Questor              Vice Island                                       
268      Questor              Vice Island II                                    
269      Freak                Southern Desert                                   
27       Detta                Memlin Caverns                                    
270      AsA                  Wasteland                                         
271      Mercy                Sundhaven                                         
272      Mercy                Sundhaven II                                      
273      Magnus               Space Station Alpha                               
274      Whiteknight          Adria: Saint Brigid                               
275      Naved                New Sparta                                        
276      Naved                New Sparta II                                     
277      Unknown/Detta        Shire                                             
278      Questor              Oceania                                           
279      Apollo/Detta         Notre Dame                                        
28       Welcor               Mudschool                                         
280      Kinesthesia          Living Motherboard                                
281      Methem               Forest of Khanjar                                 
282      Raf Blizzard         Infernal Pit of Kerjim                            
283      Matt                 Haunted House                                     
285      Strahd               Descent to Hell II                                
286      Strahd               Descent to Hell                                   
287      Pippin               Ofingia and the Goblin Town                       
288      Doctor               Galaxy                                            
289      Builder_5 of C.A.W.  Werith's Wayhouse                                 
290      Matrix of C.A.W.     Lizard Lair Safari                                
291      Silverangel          Black Forest                                      
292      Amanda Eterniale & Builder_5 of C.A.W.  Kerofk                                            
293      Amanda Eterniale & Builder_5 of C.A.W.  Kerofk II                                         
294      Builder_5            Trade Road                                        
295      Makira               Jungle                                            
296      Amanda               Froboz Fun Factory                                
298      Honeybear            Castle of Desire                                  
299      Matrix of C.A.W.     Abandoned Cathedral                               
3        Rumble               Sanctus III                                       
30       DikuMUD              Northern Midgaard                                 
